Sample,firmness,size,scar_diameter,weight,yield,flower_buds,ph,soluble_solids
UFF_192502_P07_WB05,295.8640766,17.60377516,2.67267944,2.244,3,4,3.33,9.1
UFF_192502_P07_WB06,283.3318131,18.98517584,2.38813848,2.514,3,8,4.1,13.2
UFF_192502_P07_WB07,230.5519358,16.01417096,2.88217356,1.974,3,2,3.66,10.2
UFF_192502_P07_WB08,257.5912299,18.57277548,1.58355284,2.54,3,0,3.77,13.7
UFF_192502_P07_WB11,310.9385634,17.87890674,2.42799616,2.046,4,0,3.36,8
UFF_192502_P07_WC01,316.7718983,17.01312173,1.87693808,2.132,3,1,3.31,10.1
UFF_192502_P07_WC03,310.6287808,19.01652687,2.42504976,2.368,3,4,3.49,11.9
UFF_192502_P07_WC04,257.9544876,17.88803589,2.15322404,2.284,3,6,3.31,13.1
UFF_192502_P07_WC05,265.2907017,21.13331111,2.16980008,3.578,4,7,3.33,11.8
UFF_192502_P07_WD02,234.4112566,17.48377979,1.22457972,2.22,4,4,3.27,11.4
UFF_192502_P07_WD03,200.3907683,19.3827381,2.148332,2.992,3,4,4.04,11
UFF_192502_P07_WD05,204.5060048,17.96210798,1.1720576,2.438,5,6,3.08,8.9
UFF_192502_P07_WD06,259.7326278,15.98045129,1.76620932,1.668,4,8,3.47,10.3
UFF_192502_P07_WD07,217.5039407,16.26198816,2.17948764,1.868,5,5,4.29,11.5
UFF_192502_P07_WD08,225.6530473,16.05985817,2.10031584,1.818,4,3,3.43,10.8
UFF_192502_P07_WD10,220.3017134,18.58546886,1.40631672,2.762,3,7,3.43,11
UFF_192502_P07_WD11,232.1755567,17.07078091,2.06727044,2.026,5,8,3.36,9.7
UFF_192502_P07_WE01,203.7871668,17.05177912,1.66548308,2.35,3,3,3.35,10.5
UFF_192502_P07_WE03,240.9353297,20.59459734,1.65335712,3.218,4,4,3.32,9.2
UFF_192502_P07_WE04,236.9199696,16.12490893,1.68479216,1.854,3,8,3.83,12.7
UFF_192502_P07_WE05,289.5737478,18.40858177,1.5797276,2.316,3,4,3.13,10.7
UFF_192502_P07_WE08,240.6180882,20.76040859,1.88396372,3.06,3,6,3.81,13.1
UFF_192502_P07_WE09,244.5352519,15.75010791,0.834771,1.58,1,0,3.03,8
UFF_192502_P07_WE11,254.6942246,17.85661244,1.60737296,2.344,3,1,3.56,10.1
UFF_192502_P07_WF05,250.3903788,17.25911227,2.65106404,2.194,3,5,4.27,9.9
UFF_192502_P07_WF07,288.3613103,17.76100332,2.1901404,2.242,4,2,3.73,12.5
UFF_192502_P07_WF09,280.7008957,18.17999574,2.18467432,2.26,4,2,3.56,11.7
UFF_192502_P07_WF10,186.344749,16.33538636,2.15199468,2.338,3,2,4.02,10.7
UFF_192502_P07_WF11,202.7977842,15.38594584,1.65062408,1.802,3,3,4.75,11.2
UFF_192502_P07_WG01,194.0638141,19.20666934,1.83539892,3.09,4,4,4.4,11.1
UFF_192502_P07_WG03,313.9372264,17.1656039,2.10900264,2.156,4,10,3.27,10.4
UFF_192502_P07_WG04,360.0327483,20.78353101,2.17387424,3.474,3,8,3.25,11.1
UFF_192502_P07_WG05,278.5251003,16.5804603,1.8009362,1.896,4,4,3.51,11.1
UFF_192502_P07_WG06,289.4573961,15.63717701,1.37699496,1.616,4,2,4.17,12.6
UFF_192502_P07_WG07,313.1248954,16.40434035,2.22204788,1.824,3,2,3.68,11.7
UFF_192502_P07_WG08,297.4799273,19.9281442,3.02814736,3.154,4,6,3.67,11.5
UFF_192502_P07_WG10,199.2684767,16.45407113,2.2031452,1.99,3,6,3.99,12.9
UFF_192502_P07_WG11,233.226504,18.2159774,2.08106264,2.648,5,2,3.37,12.4
UFF_192502_P07_WG12,320.2544055,14.54167935,1.62578796,1.452,3,1,3.46,9.4
UFF_192502_P07_WH02,237.2033022,17.12030854,1.64943536,2.024,4,8,3.22,11.3
UFF_192502_P07_WH03,303.6603656,20.01772447,2.38538512,2.958,3,6,3.22,8.6
UFF_192502_P07_WH04,189.6336942,17.64801502,1.71617132,2.41,5,3,4.05,10.8
UFF_192502_P07_WH06,188.2938499,21.72370659,2.05370176,3.794,4,7,3.46,12.6
UFF_192502_P07_WH07,278.5905899,16.17315151,1.80121052,1.82,4,5,3.35,10.8
UFF_192502_P07_WH08,168.8957093,17.65712751,1.5547086,2.8,3,4,3.86,10.2
UFF_192502_P07_WH09,278.965667,13.08191617,1.23125992,1.1,4,6,3.81,10.1
UFF_192502_P07_WH10,231.7258534,17.18579667,1.78459384,1.928,3,8,4,14.3
UFF_192502_P07_WH11,270.2442202,16.34846815,1.86511692,1.75,4,1,4.13,13.3
UFF_192502_P08_WA01,281.7757435,17.31654431,1.68324784,1.896,4,2,3.49,14.4
UFF_192502_P08_WA03,240.0665308,18.87174621,2.45256812,2.508,5,6,3.68,11.6
UFF_192502_P08_WA04,227.3151757,17.27914518,1.81874668,2.012,2,6,3.61,12.9
UFF_192502_P08_WA05,258.8454153,18.3081686,1.72409104,2.342,3,6,3.4,12.5
UFF_192502_P08_WA06,272.347788,16.67187386,1.7901412,1.908,4,1,3.65,10.2
UFF_192502_P08_WA07,230.1426897,15.42551282,1.80943504,1.542,3,7,3.51,11.7
UFF_192502_P08_WA08,217.3087523,18.86413415,1.96655436,2.696,3,2,3.73,12
UFF_192502_P08_WA09,246.2796675,17.53541275,2.06883508,2.412,3,5,3.71,9.9
UFF_192502_P08_WA10,244.3910281,20.38424025,2.16854532,3.068,3,2,3.56,13.4
UFF_192502_P08_WA11,236.5398858,17.12677368,2.20974412,2.172,3,8,3.6,11.3
UFF_192502_P08_WB02,213.2128273,16.45914992,2.01581512,1.944,5,6,3.37,10.4
UFF_192502_P08_WB05,226.4163381,21.7387453,1.7863566,3.724,3,2,3.59,12.1
UFF_192502_P08_WB08,264.2946986,16.36473606,1.70179492,1.876,4,7,4.11,9.1
UFF_192502_P08_WB09,252.665039,15.0818894,1.59033464,1.44,3,6,3.7,13.6
UFF_192502_P08_WB12,200.1113882,18.84220222,2.12166708,2.492,4,3,4.09,11
UFF_192502_P08_WC02,265.1733849,16.61667981,1.75271176,2.526,2,5,3.35,13.6
UFF_192502_P08_WC03,272.0091495,16.85614561,1.77421032,2.692,3,14,3.74,10.5
UFF_192502_P08_WC04,211.5332044,19.06456413,1.77877724,2.916,2,3,3.34,13
UFF_192502_P08_WC05,337.4886664,17.49211843,1.5760446,2.27,3,2,3.22,9.7
UFF_192502_P08_WC06,266.8885019,19.08516092,2.39167416,2.844,4,11,3.46,11.7
UFF_192502_P08_WC07,256.4709643,16.40008929,2.39325404,1.914,5,2,3.86,10.2
UFF_192502_P08_WC08,215.1640721,18.61031455,1.71177712,2.652,3,3,3.54,12.3
UFF_192502_P08_WC11,237.5051864,18.1974124,2.51748544,2.542,3,3,3.41,9.9
UFF_192502_P08_WC12,289.5079165,17.46458982,1.54474164,2.464,4,3,3.86,13.9
UFF_192502_P08_WD01,263.4630605,18.19431659,1.5227808,2.42,3,4,3.82,11.3
UFF_192502_P08_WD02,294.1423726,17.87872184,1.81275228,2.87,4,6,3.21,9.2
UFF_192502_P08_WD03,244.8483892,19.0323523,1.96273928,2.97,3,3,3.67,12.2
UFF_192502_P08_WD05,253.5353045,17.53510364,2.16782396,2.106,5,4,3.22,10.7
UFF_192502_P08_WD06,251.4688347,16.93127674,2.13637368,2.55,4,7,3.31,11.9
UFF_192502_P08_WD07,223.6736908,19.3613099,2.50375928,2.754,3,1,3.44,9.9
UFF_192502_P08_WD08,300.1399198,19.30847437,1.50247096,2.61,4,0,4.03,10.2
UFF_192502_P08_WD09,279.5453224,18.5376904,1.83054752,2.696,3,1,3.52,11.4
UFF_192502_P08_WD11,297.5560654,18.11118481,1.73506892,2.372,2,6,3.2,9.8
UFF_192502_P08_WD12,352.2339578,14.85237518,1.65878764,1.406,4,3,3.7,9.4
UFF_192502_P08_WE02,168.4298821,20.87232715,2.14976456,3.518,5,7,3.96,9.9
UFF_192502_P08_WE03,260.4188571,19.92394561,1.75611536,2.968,4,7,3.28,11.7
UFF_192502_P08_WE04,308.9912096,19.159595,1.78400456,2.818,5,4,4.57,9.7
UFF_192502_P08_WE05,197.8233805,20.74559199,2.03961492,3.086,4,1,3.14,11.2
UFF_192502_P08_WE06,267.8301812,18.1587788,1.56236416,2.352,3,2,3.45,7.7
UFF_192502_P08_WE07,263.501483,22.09369432,3.57077264,3.606,3,1,4.44,11
UFF_192502_P08_WE11,258.2173151,21.70108155,2.34562904,3.52,3,7,3.24,10
UFF_192502_P08_WE12,312.4010135,20.34751098,1.92937384,3.102,3,4,3.45,10.1
UFF_192502_P08_WF01,258.9368348,17.58560818,1.90160656,2.274,5,1,3.72,10.5
UFF_192502_P08_WF03,268.7473596,17.84236633,1.40687044,2.274,4,3,3.62,11.8
UFF_192502_P08_WF04,297.2484017,17.98862707,2.5493218,2.332,3,4,3.28,11.3
UFF_192502_P08_WF05,249.4407857,16.75934137,1.72830236,1.808,3,5,3.16,10.7
UFF_192502_P08_WF06,275.1046071,15.37016761,2.61541768,1.456,5,8,4.14,10.3
UFF_192502_P08_WF07,236.1893076,16.90317942,2.11510372,2.244,3,3,3.14,11.4
UFF_192502_P08_WF08,262.3466911,15.64254602,2.00176384,1.802,3,11,3.45,9.9
UFF_192502_P08_WF09,176.8634768,16.542255,2.6712291,1.87,1,0,2.69,12.5
UFF_192502_P08_WF10,278.9720541,20.54472053,2.55921256,3.16,3,6,3.77,10.4
UFF_192502_P08_WF11,308.9061113,18.81460094,2.08809844,2.858,3,3,3.4,13.1
UFF_192502_P08_WF12,226.0859088,18.34655654,2.57488944,2.158,3,3,3.15,11.4
UFF_192502_P08_WG01,265.3912765,18.73872206,2.09168492,2.63,4,10,3.61,10.2
UFF_192502_P08_WG02,255.5656439,18.64962044,4.04328884,2.84,4,5,4.47,10.1
UFF_192502_P08_WG03,200.6354158,18.14986739,1.63614608,2.328,4,0,3.91,13.9
UFF_192502_P08_WG08,239.6153902,17.77343775,2.1024342,2.476,5,1,3.29,10.2
UFF_192502_P08_WG10,249.6563164,19.5135527,2.05654656,2.918,3,5,3.43,10.6
UFF_192502_P08_WH04,191.6023725,21.4637782,1.58486856,3.992,3,2,3.18,12.7
UFF_192502_P08_WH05,170.8647819,17.46855476,1.5154275,2.465,2,1,3.3,12.3
UFF_192502_P08_WH06,194.85501,16.23789577,1.6181832,1.866,2,6,2.99,10.2
UFF_192502_P08_WH07,169.7117623,21.01932654,2.43704872,3.448,2,4,3.69,12.7
UFF_192502_P08_WH08,218.2849179,18.20576124,1.72520356,2.346,3,5,3.19,11
UFF_192502_P09_WA01,213.0627118,19.1156336,2.04551788,2.532,4,5,3.13,10.4
UFF_192502_P09_WA02,277.0885274,22.16696805,2.78643588,3.58,3,5,4.01,13.4
UFF_192502_P09_WA03,226.4832317,15.48086391,1.70950636,1.788,4,4,3.12,10.7
UFF_192502_P09_WA04,245.5474441,16.67382701,2.16263728,1.884,5,5,3.635,9.2
UFF_192502_P09_WA06,227.053759,17.23763137,2.56032508,2.286,4,13,3.146,9.1
UFF_192502_P09_WA07,252.2235664,21.16755941,1.99886316,3.106,4,7,3.281,13.1
UFF_192502_P09_WA08,231.6211946,15.39360079,1.10537244,1.612,4,0,3.744,15.1
UFF_192502_P09_WA09,387.1430778,14.2907026,1.47122896,1.266,5,2,3.918,13.2
UFF_192502_P09_WA10,265.6295841,17.92645213,2.0541488,2.378,3,4,3.696,12.8
UFF_192502_P09_WA11,288.4901955,15.03716031,1.62604196,1.624,4,6,3.939,12.6
UFF_192502_P09_WA12,255.1053075,20.35240749,1.958467,3.246,4,5,4.251,13.8
UFF_192502_P09_WB01,233.9662554,19.30364658,1.31322064,2.784,5,5,3.736,13.5
UFF_192502_P09_WB02,275.0311664,18.37789917,1.59545528,2.626,3,3,3.999,9.3
UFF_192502_P09_WB03,286.9373951,17.83130839,1.31613148,2.31,3,4,3.301,10.4
UFF_192502_P09_WB04,233.1114025,17.81179885,1.46489928,2.182,3,4,3.529,14.6
UFF_192502_P09_WB05,294.1292215,14.25220599,1.42260828,1.27,4,4,3.488,13.8
UFF_192502_P09_WB06,191.5097773,17.68648493,2.14691976,2.25,3,0,4.659,14.6
UFF_192502_P09_WB07,351.1314179,12.84290716,0.94864936,1.166,2,5,3.899,13.6
UFF_192502_P09_WB08,337.3012862,16.44452425,1.58864808,1.746,5,2,4.085,12
UFF_192502_P09_WB09,237.6313859,16.80205349,1.85862976,2.206,3,3,3.87,13.3
UFF_192502_P09_WB10,246.2135313,13.18209044,1.75478948,1.2,3,10,3.61,12.4
UFF_192502_P09_WB11,236.7391137,20.93001193,3.16578488,3.494,3,9,3.89,13.4
UFF_192502_P09_WB12,207.5437438,21.19210794,3.302508,3.664,4,6,4.17,13.9
UFF_192502_P09_WC01,232.5036323,18.07494044,1.58227776,2.584,5,6,4.16,13.3
UFF_192502_P09_WC02,236.4586403,18.86727223,1.59761936,2.348,4,2,3.54,13.4
UFF_192502_P09_WC06,283.138274,19.15890893,2.32426764,2.57,3,4,4.18,13.2
UFF_192502_P09_WC07,290.299219,19.09074582,2.51486416,2.73,2,4,3.63,13
UFF_192502_P09_WC08,272.9646024,19.21330447,3.07130196,2.87,3,1,3.9,12.9
UFF_192502_P09_WC09,323.53435,15.40335023,1.96040756,1.534,5,3,3.45,9.6
UFF_192502_P09_WC10,219.6094971,17.31667985,2.72284444,2.26,5,3,4.83,12
UFF_192502_P09_WC11,280.6426154,15.71180418,1.65245796,1.652,4,4,3.54,11.7
UFF_192502_P09_WC12,251.2148059,16.46497619,1.797304,1.85,4,6,4.41,9.5
UFF_192502_P09_WD01,255.5350595,15.91148376,1.68245536,1.496,3,2,3.33,11.9
UFF_192502_P09_WD02,274.1104847,17.24280224,1.79171092,2.108,3,3,3.32,10.9
UFF_192502_P09_WD03,268.3601463,16.66882961,2.6009854,2.122,4,3,3.9,9.4
UFF_192502_P09_WD04,298.0041232,16.6154399,2.4081232,1.794,5,5,3.57,10.9
UFF_192502_P09_WD05,327.2598679,19.45783399,2.53236984,2.896,3,12,3.4,14.6
UFF_192502_P09_WD06,286.5626674,16.33116658,1.82244492,1.872,4,7,4.14,10.5
UFF_192502_P09_WD07,311.7254003,18.08189007,2.4893524,2.554,3,6,4.06,9.4
UFF_192502_P09_WD08,335.9583174,17.72403026,2.38184436,2.348,2,3,3.23,11.2
UFF_192502_P09_WD09,326.1603804,18.24709203,2.37928404,2.386,3,7,3.57,10
UFF_192502_P09_WD10,242.6622275,17.57818201,2.05207108,2.064,3,2,3.38,10.4
UFF_192502_P09_WD11,303.8896669,17.40884351,1.6690086,2.07,3,4,3.35,11.2
UFF_192502_P09_WD12,237.1126249,18.50723504,1.85227468,2.36,3,8,3.68,13.8
UFF_192502_P09_WE01,266.3253211,17.31038538,2.28956108,1.976,4,4,2.92,11.6
UFF_192502_P09_WE03,259.4426194,16.82453711,3.27142856,1.934,5,5,4.16,11.8
UFF_192502_P09_WE04,173.868098,17.02061214,3.02264064,1.958,5,6,3.3,9.2
UFF_192502_P09_WE05,193.3469812,16.60508139,1.87691776,1.836,5,3,3.57,10.2
UFF_192502_P09_WE06,225.2927189,19.78297901,2.68232128,2.852,5,11,3.51,12.4
UFF_192502_P09_WE07,256.2444194,19.19527074,2.81221688,2.596,5,6,3.12,10.4
UFF_192502_P09_WE08,164.7879386,18.99138471,2.63180068,2.508,5,8,3.79,9.1
UFF_192502_P09_WE09,260.5218758,19.48418599,2.36078776,2.646,5,7,3.28,11.1
UFF_192502_P09_WE10,241.0680782,15.99691108,1.83973724,1.736,5,5,3.43,12.3
UFF_192502_P09_WE11,350.5605849,15.64599645,2.14618316,1.734,5,3,4.48,11.9
UFF_192502_P09_WE12,221.2528439,18.60518729,2.68318488,2.404,5,9,3.5,11.8
UFF_192502_P09_WF01,211.3394157,16.60325412,2.78360124,1.704,4,15,4.38,12.8
UFF_192502_P09_WF02,237.2721319,17.68541255,1.87738512,2.006,5,4,3.8,11.9
UFF_192502_P09_WF03,218.5560487,19.76608883,2.91737796,3.294,5,6,3.72,11.5
UFF_192502_P09_WF04,212.8887345,15.88202458,2.47606312,1.764,5,6,3.75,8.7
UFF_192502_P09_WF05,254.2647714,16.88778421,1.71618656,1.82,4,3,3.07,10.1
UFF_192502_P09_WF06,238.4589589,20.36615061,2.12226144,3.322,3,3,4.1,13.1
UFF_192502_P09_WF07,236.9228843,19.19921828,2.23166432,2.886,2,1,3.56,11.2
UFF_192502_P09_WF08,408.6328692,13.14598787,1.4844522,1.038,3,11,3.21,14.1
UFF_192502_P09_WF09,242.1205753,16.05501688,1.86127136,1.65,5,7,4.19,14.7
UFF_192502_P09_WF10,276.578875,14.77025103,1.90332868,1.348,2,3,4.09,9.6
UFF_192502_P09_WF11,277.0068591,15.39513323,1.97249796,1.548,4,2,3.96,11.9
UFF_192502_P09_WF12,224.7542332,19.8609462,1.94517264,2.83,4,8,3.22,11.3
UFF_192502_P09_WG01,261.4673902,13.49113172,1.51595328,1.282,3,3,3.38,14.2
UFF_192502_P09_WG02,275.000263,18.23716689,2.00828148,2.282,4,3,3.39,11.6
UFF_192502_P09_WG03,299.5476969,18.94526768,2.30666036,2.72,3,1,3.29,11.2
UFF_192502_P09_WG04,216.8745637,14.9208987,1.76711864,1.494,5,4,3.12,9
UFF_192502_P09_WG05,250.1974759,18.26394268,2.73165824,2.312,5,5,3.41,10.7
UFF_192502_P09_WG06,241.1210128,17.72521673,2.30270304,2.27,2,7,3.07,11.3
UFF_192502_P09_WG07,262.3701972,17.50664033,2.27485448,2.236,2,0,3.18,12.3
UFF_192502_P09_WG08,275.9294971,14.81162791,1.8970752,1.506,4,5,2.99,11.6
UFF_192502_P09_WG09,232.340885,20.19217756,2.0122388,3.462,5,9,4.49,13.7
UFF_192502_P09_WG10,260.5133512,19.63584611,2.33531156,2.916,3,2,4.09,12.7
UFF_192502_P09_WG11,251.6824662,18.38422562,2.77333456,2.53,4,7,3.92,10.6
UFF_192502_P09_WG12,243.4214807,21.61130921,2.12176868,3.534,4,2,3.36,11
UFF_192502_P09_WH01,249.8581364,17.65445729,2.41492532,2.216,3,2,4.45,14.6
UFF_192502_P09_WH02,301.9752147,13.63865757,1.77198528,1.152,2,4,3.21,10.8
UFF_192502_P09_WH03,190.8265489,20.14500374,2.29014528,2.96,2,1,3.55,12.4
UFF_192502_P09_WH04,220.2448323,18.95088919,1.88570616,2.322,4,2,3.61,12.7
UFF_192502_P09_WH05,209.00326,19.09681942,2.34428792,2.426,3,0,3.19,10.5
UFF_192502_P09_WH06,227.9364181,17.91632985,2.50265184,2.25,4,8,3.54,11.4
UFF_192502_P09_WH07,279.2353204,17.12553266,2.65292332,2.07,4,5,3.92,10.6
UFF_192502_P10_WA02,269.5009149,18.72597036,2.26955604,2.43,3,8,3.37,10
UFF_192502_P10_WA04,230.4293824,20.07221395,1.7626076,2.98,3,3,3.22,9.7
UFF_192502_P10_WA05,244.3034305,17.22187777,2.29950264,1.978,4,9,3.75,11.5
UFF_192502_P10_WA07,274.8716402,21.12246781,2.12576156,3.456,3,1,3.07,10.9
UFF_192502_P10_WA10,232.58493,17.29653802,1.52379172,2.128,3,8,3.32,8.9
UFF_192502_P10_WA12,275.8204806,18.02618922,1.76072292,2.608,3,0,3.74,12.8
UFF_192502_P10_WB01,236.7191473,18.70193644,2.10869276,2.562,4,3,3.3,10.5
UFF_192502_P10_WB02,337.3701926,22.38877293,2.16034112,4.21,4,7,3.41,9.4
UFF_192502_P10_WB03,271.319966,18.60627132,1.59762444,2.656,3,3,3.73,10.4
