Plant,Parent_Endo,Endo,status,Transmission,Bud_Number,Buds_per_inflorescence,Seed_Number,Seeds_per_bud,PollenCount,Pollen_per_bud,Tiller_Number,Inflorescence_Number,Inflorescences_per_Tiller,Shoot_Mass(g),Root_Mass(g),Total_Mass(g),LloydG,,
225,1,1,2,++,168,28,121,0.720238095,569016,3387,9,6,0.666666667,2.045,0.406,2.451,0.621351,,
8,1,0,1,+-,84,42,37,0.44047619,575820,6855,5,2,0.4,2.829,0.468,3.297,0.331485791,,
13,1,0,1,+-,99,33,68,0.686868687,642114,6486,6,3,0.5,3.019,0.447,3.466,0.449707233,,
90,0,0,0,--,100,25,53,0.53,679200,6792,4,4,1,2.115,0.41,2.525,0.375845629,,
202,0,0,0,--,153,25.5,53,0.346405229,691713,4521,10,6,0.6,2.827,0.367,3.194,0.371572954,,
121,1,0,1,+-,116,38.66666667,74,0.637931034,698088,6018,7,3,0.428571429,2.393,0.324,2.717,0.449949291,,
29,1,0,1,+-,123,61.5,74,0.601626016,717705,5835,7,2,0.285714286,3.181,0.494,3.675,0.44310029,,
187,1,0,1,+-,134,33.5,75,0.559701493,721590,5385,5,4,0.8,2.975,0.68,3.655,0.445081337,,
26,0,0,0,--,136,45.33333333,79,0.580882353,756432,5562,3,3,1,2.614,0.373,2.987,0.44626821,,
94,1,0,1,+-,108,36,56,0.518518519,791208,7326,3,3,1,1.85,0.134,1.984,0.353245223,,
102,1,1,2,++,188.5714286,26.93877551,129.1428571,0.684848485,924942.8571,4905,12,7,0.583333333,2.363,0.486,2.849,0.518639294,,
4,1,0,1,+-,153,38.25,93,0.607843137,932688,6096,5,4,0.8,2.955,0.631,3.586,0.434855722,,
59,1,0,1,+-,119,59.5,64,0.537815126,977466,8214,5,2,0.4,2.502,0.439,2.941,0.335664324,,
45,1,1,2,++,25,8.333333333,5,0.2,,,10,3,0.3,1.483,0.23,1.713,,,
137,0,0,0,--,36,18,8,0.222222222,,,8,2,0.25,2.374,0.219,2.593,,,
44,1,0,1,+-,93,31,23,0.247311828,,,5,3,0.6,2.11,0.203,2.313,,,
147,1,1,2,++,8,4,2,0.25,,,10,2,0.2,1.399,0.187,1.586,,,
184,0,0,0,--,89,22.25,24,0.269662921,,,5,4,0.8,1.566,0.204,1.77,,,
66,1,0,1,+-,40,13.33333333,11,0.275,,,7,3,0.428571429,0.868,0.141,1.009,,,
192,1,1,2,++,7,7,2,0.285714286,,,7,1,0.142857143,1.575,0.105,1.68,,,
48,0,0,0,--,53,17.66666667,18,0.339622642,,,6,3,0.5,1.598,0.235,1.833,,,
